id,youtube_channel_id,name,url,is_official,country_code
1,UC9iC5kXiHNJCCDjEi1lD3UA,アニメタイムズ公式 / Anime Times Official,https://www.youtube.com/@animetimes-ch,true,JP
2,UC7wu64jFsV02bbu6UHUd7JA,ガンダムチャンネル,https://www.youtube.com/@GUNDAM,true,JP
3,UCnBj9CULLD4Zbk_uZh2hnZQ,フル☆アニメTV,https://www.youtube.com/@FullAnimeTV,true,JP
4,UCheFLP5SgLpNagzmN9rFTYQ,【アニメ】クレヨンしんちゃん公式チャンネル,https://www.youtube.com/@kureshin_official,true,JP
5,UC47AYUs8AVU1QsT5LhpXjaw,ジャンプチャンネル,https://www.youtube.com/@jumpchannel/videos,true,JP
6,UCKtxF3ufOkuJohTeKyNbYrQ,コロコロチャンネル【公式】,https://www.youtube.com/@corocoro/videos,true,JP
7,UCkVvAm5jb62IMIJQj4wPVGA,TMSアニメ公式チャンネル,https://www.youtube.com/@TMSanimeJP/videos,true,JP
8,UCUUekIrulAiJnUOawqBRwZQ,東映アニメーションミュージアムチャンネル,https://www.youtube.com/@toeianime_MC/videos,true,JP
9,UCmDLyFjSutfb1MK7F6cMVSA,サンライズ SUNRISE Official,https://www.youtube.com/@サンライズ/videos,true,JP
10,UC0U2GG9WNndvt1wK41l9iqg,スタジオぴえろ【公式】,https://www.youtube.com/channel/UC0U2GG9WNndvt1wK41l9iqg,true,JP
11,UCyach7GHJDlXTv6h3fcNwqg,手塚プロダクション公式チャンネル,https://www.youtube.com/@tezukaproductions/videos,true,JP
12,UCKsZgsxifJpNFLQx52UTcIA,日本アニメーション・シアター,https://www.youtube.com/@NipponAnimation/videos,true,JP
13,UC_SI1j1d8vJo_rYMV5o_dRg,ポケモン公式YouTubeチャンネル,https://www.youtube.com/@PokemonCoJp/videos,true,JP
14,UCQ5URCSs1f5Cz9rh-cDGxNQ,バンダイナムコフィルムワークス チャンネル,https://www.youtube.com/@bandainamcofilmworks/videos,true,JP
